x,phi
9.986945322634064107e-03,6.997084740165783467e-03
7.276818169273438150e-03,9.780392917674001624e-03
-1.535287829544717056e-02,2.171855091317992370e-02
-2.548330832715620803e-02,1.325937532437568810e-02
-8.251847949786915437e-03,9.953139578240252291e-03
-1.938889768575088879e-02,2.036028289676807684e-02
-9.441390937136178579e-03,1.310059356124114970e-02
1.243556700258004188e-03,9.440041097624737865e-03
-6.348447692912274551e-03,1.699177921047878223e-02
5.720752645136679276e-04,1.545273507849619435e-02
-2.262036917632394978e-02,2.977514784271387965e-02
-2.238671843724535787e-03,4.214249698228277052e-02
-7.724621440079248308e-03,4.715874658668468139e-02
-2.271676167556817283e-02,7.169946205708475906e-02
-3.192987051279925353e-02,9.467967366987356526e-02
-1.743996152327598192e-02,1.434127638008524941e-01
-3.307321976071550540e-02,2.011378436733550212e-01
-2.268006610323141867e-02,2.925768432807913655e-01
-2.046219334563171080e-02,4.342922874311971881e-01
-1.229640328337910406e-02,6.227972028913809632e-01
-2.163389074058010703e-02,9.037285407071615762e-01
5.396049970692023273e-03,1.270364142428324516e+00
5.144619377611544912e-03,1.500170409589631326e+00
-1.233248560076129381e-02,1.495857679481691127e+00
-3.208859826981638047e-02,1.498167347435442220e+00
-1.728645012374229600e-02,1.497459751854113952e+00
-2.898352438555235749e-02,1.488767513967018230e+00
-2.558328890906725120e-02,1.502845529847058437e+00
-5.868372842537149248e-02,1.498257342604995879e+00
-5.470937505613547580e-02,1.495773884145886745e+00
-6.566370094871380736e-02,1.502824116526996434e+00
-8.036600981428376755e-02,1.496863633791803316e+00
-8.012103183870902812e-02,1.501209997271199192e+00
-7.698119116236461223e-02,1.500850818631008998e+00
-8.297998097258153793e-02,1.500484787431059397e+00
-8.220215505202657646e-02,1.486560878889846782e+00
-9.889277807205679172e-02,1.497792328997494371e+00
-1.139837173050780583e-01,1.495626694810449964e+00
-1.139893751616130740e-01,1.499275676661420809e+00
-1.297983803819298121e-01,1.494857607941995514e+00
-1.559105504253493757e-01,1.490793982611921642e+00
-1.549537939662489205e-01,1.492017625236805811e+00
-1.465690134712728521e-01,1.492153214149380958e+00
-1.491502458086907679e-01,1.489488536885105630e+00
-1.591991660117819951e-01,1.493198326672349641e+00
-1.735228592448800899e-01,1.497025776972196409e+00
-1.810568376159565340e-01,1.495054907280353396e+00
-1.802607032337080473e-01,1.495203594706466355e+00
-1.875697946940884098e-01,1.502178187554904953e+00
-2.123359585094198865e-01,1.492928325606085682e+00
-1.935147253438234405e-01,1.494390244068536155e+00
-2.204349149409270958e-01,1.502720128700604674e+00
-2.079300867272726727e-01,1.503907158404337530e+00
-2.307525000343661203e-01,1.499838045147991794e+00
-1.990693819328968328e-01,1.493291650451073371e+00
-2.265030240367093550e-01,1.484599970500669386e+00
-2.364215840618628106e-01,1.493952328599974289e+00
-2.462131349994823026e-01,1.493540973849478037e+00
-2.545215939568448160e-01,1.488188028989133160e+00
-2.498027618918740311e-01,1.498108641524837692e+00
-2.562840485198574769e-01,1.491877382738135971e+00
-2.755620035848027616e-01,1.496064901417822002e+00
-2.722811485611224547e-01,1.495285379453676899e+00
-2.837771010732707544e-01,1.495498603691518769e+00
-2.798261974818883058e-01,1.499438753421527437e+00
-2.924206979242900406e-01,1.491608825020924733e+00
-2.879138168346314086e-01,1.494843843801093142e+00
-3.075079181907670045e-01,1.497511957016157025e+00
-2.948863718305870796e-01,1.501629739769106964e+00
-3.201148002820757288e-01,1.491003575466863573e+00
-3.441647113166916294e-01,1.491145916370539615e+00
-3.169267449022327710e-01,1.490323625145522302e+00
-3.078801211896464163e-01,1.487238234772411571e+00
-3.148186547028095639e-01,1.494323915899602007e+00
-3.441164266348945011e-01,1.497079377600976535e+00
-3.414100389722264373e-01,1.495197817375599314e+00
-3.389429185836492220e-01,1.502460571359940378e+00
-3.421392583219033390e-01,1.485810161363363413e+00
-3.622426746351428140e-01,1.496832755788004787e+00
-3.736053935195352005e-01,1.490927351293132919e+00
-3.664378788461116754e-01,1.496562385802253869e+00
-3.752771521641530827e-01,1.507485382576930988e+00
-3.789055830213041154e-01,1.499166036217263409e+00
-3.794761071297783617e-01,1.498246732841552742e+00
-4.034198150144007178e-01,1.493102954745215483e+00
-3.515566099506026720e-01,1.493681251248789144e+00
-3.986623215998281178e-01,1.491184632984075886e+00
-3.905588117275893834e-01,1.489402600565507884e+00
-4.166628510374293382e-01,1.500255489996748182e+00
-3.975331006809731393e-01,1.488116886166564123e+00
-4.086115928936562836e-01,1.503243752392037003e+00
-4.095825154584833983e-01,1.498620629147041416e+00
-4.273289949839556567e-01,1.498758159938812451e+00
-4.233511136290317167e-01,1.492726041830235939e+00
-4.336061337035477803e-01,1.498833994787796886e+00
-4.343610368829233792e-01,1.503763822842604236e+00
-4.216597414168693492e-01,1.501687303122692052e+00
-4.424502429872655407e-01,1.499313065469660922e+00
-4.581961600544930957e-01,1.491273024676628589e+00
-4.531686413667743718e-01,1.498708114913076317e+00
-4.710614327041159344e-01,1.506106179806958600e+00
-4.730659051069602827e-01,1.489341798416181195e+00
-4.636328270433489607e-01,1.499031061385829977e+00
-4.652680604076835369e-01,1.494874855443429462e+00
-4.786184498604523219e-01,1.487009808684087275e+00
-4.728183416666401073e-01,1.494770207831812137e+00
-4.948555906158319528e-01,1.497692980643317684e+00
-4.888066888019270695e-01,1.497420382355277413e+00
-4.949891647516033166e-01,1.491688003258770490e+00
-4.898152505994737838e-01,1.503444395126177113e+00
-4.979398038101462420e-01,1.497166003603002560e+00
-4.956383094061946881e-01,1.504869693714755874e+00
-4.908164560386980568e-01,1.500583033440609393e+00
-5.052836011521999460e-01,1.504957587584973222e+00
-5.149523491536279751e-01,1.500961370413665730e+00
-5.313444897615171580e-01,1.500432593182988494e+00
-5.224771290399119472e-01,1.504878368384970244e+00
-5.182155997129218594e-01,1.496234910150744835e+00
-5.386678215955393867e-01,1.489278043998557122e+00
-5.323908022057913803e-01,1.487812650810414139e+00
-5.238719936000710842e-01,1.491506426497659854e+00
-5.516538162773797493e-01,1.493901154094607442e+00
-5.424895760631710528e-01,1.494836886632448181e+00
-5.424486760817054387e-01,1.501356818110723079e+00
-5.632184450179146262e-01,1.501118370990020212e+00
-5.610261477308620126e-01,1.484430751082329802e+00
-5.669826388069507672e-01,1.498697054127668515e+00
-5.509564701461926450e-01,1.502401979447571367e+00
-5.792153484353634862e-01,1.496818049188167299e+00
-5.570163550365179184e-01,1.494984088408087164e+00
-5.683974610429075591e-01,1.501737199915102794e+00
-5.805630074964954757e-01,1.500174583168337294e+00
-5.775411634510829728e-01,1.505449809051196519e+00
-5.992813534609566783e-01,1.491773362817499171e+00
-5.735639357877938549e-01,1.498080272627559717e+00
-5.685958284285949071e-01,1.487670599348559719e+00
-5.924812512441504087e-01,1.492024742396237391e+00
-5.828867970689357580e-01,1.497563767975059301e+00
-6.081294381681607852e-01,1.498281550420257568e+00
-5.964922788998849867e-01,1.493123574599444892e+00
-6.163465703742326829e-01,1.492766533673993035e+00
-6.177160441484650377e-01,1.492707076333351868e+00
-6.031615234940040926e-01,1.494079639913681312e+00
-6.207398688199664560e-01,1.491253151911592800e+00
-5.990071940810104412e-01,1.490705099944735101e+00
-6.322798800776816552e-01,1.489469147699517881e+00
-6.228602827503596506e-01,1.494618227038920555e+00
-6.385431060378994328e-01,1.494147741629379800e+00
-6.196349022370754023e-01,1.488913689323628997e+00
-6.244869790347586935e-01,1.490331821562982606e+00
-6.310708610609258029e-01,1.493189106313238090e+00
-6.443012845084090667e-01,1.494766929765531049e+00
-6.217072842489950180e-01,1.504945443608314948e+00
-6.472377955104856584e-01,1.495786168572177166e+00
-6.623693927598967024e-01,1.493475304294009876e+00
-6.359286444975450481e-01,1.502542070371444494e+00
-6.580896421131425811e-01,1.493987653191543474e+00
-6.656709629408031903e-01,1.502376732526545799e+00
-6.601301761283673297e-01,1.499937959324914694e+00
-6.628103429070277830e-01,1.497031992834604308e+00
-6.724070335969314360e-01,1.489861520768329672e+00
-6.728429193736253922e-01,1.490922487094826554e+00
-6.637428280031366645e-01,1.488745563210043921e+00
-6.802869889348679422e-01,1.490787567659906498e+00
-6.720294441012271136e-01,1.503542555088898558e+00
-6.821541909150060645e-01,1.504111636736947144e+00
-6.789811225858248811e-01,1.504519677930563404e+00
-6.962476327649465002e-01,1.502885026216945086e+00
-7.263795005131766791e-01,1.503338702760723011e+00
-6.884095659200654138e-01,1.487793297508092971e+00
-6.779343399649851998e-01,1.498782154331443905e+00
-6.895430694677083805e-01,1.506727602802336863e+00
-7.063628623693752884e-01,1.500551292341445464e+00
-7.198293172548031471e-01,1.494787463858197052e+00
-6.982862869196220235e-01,1.495405708068133555e+00
-7.028753448143605365e-01,1.492056578019661073e+00
-7.115747798112537215e-01,1.501382099123475422e+00
-7.121974377393601729e-01,1.495547090120881606e+00
-7.320191659906400972e-01,1.494188993452130632e+00
-7.270686240050718840e-01,1.499538523879083263e+00
-7.379369218113344120e-01,1.492607278956370020e+00
-7.145606507059566459e-01,1.494081120369187499e+00
-7.406160341332860275e-01,1.489012965273517786e+00
-7.334906785203626489e-01,1.500461401842010822e+00
-7.299444758207994655e-01,1.487432935414259028e+00
-7.301492198386152488e-01,1.490798064574499815e+00
-7.391731647317845155e-01,1.496131891726240060e+00
-7.414975021161649416e-01,1.498487990794493241e+00
-7.527711136406491921e-01,1.492669239869766518e+00
-7.480472232682606748e-01,1.491237580118500716e+00
-7.267833381352755140e-01,1.498207640010711827e+00
-7.621283289299793928e-01,1.491212037310967409e+00
-7.490677552719244847e-01,1.493508724618105576e+00
-7.621928303206968458e-01,1.491931079975264307e+00
-7.655208818800693926e-01,1.488959299472567110e+00
-7.499778653068887024e-01,1.499661913572022387e+00
-7.445233054500355330e-01,1.506590707160151199e+00
-7.512050699914178953e-01,1.510281997410602317e+00
-7.749360814399454123e-01,1.489884428777263015e+00
-7.777149023736131817e-01,1.489565533690689225e+00
-7.636781932902334535e-01,1.501945704008949667e+00
-7.798069929319595417e-01,1.492554085246683204e+00
-7.685607023746714450e-01,1.504414372893908114e+00
-7.729272533327496975e-01,1.489995361062056656e+00
-7.696265028097539762e-01,1.499566995623930143e+00
-7.692198372052184707e-01,1.506215741251868412e+00
-7.745594785471509036e-01,1.489015285159422275e+00
-7.987848152794714274e-01,1.501993848314081559e+00
-8.038313871520609277e-01,1.499483392358916367e+00
-7.799893672778180909e-01,1.493158281858818937e+00
-7.896093287534459160e-01,1.494297109391404588e+00
-7.770943170671994471e-01,1.494925124962922736e+00
-7.817330538750710822e-01,1.499349107437085049e+00
-7.848967946152881625e-01,1.497020563732027076e+00
-7.757516135836969307e-01,1.498232195853113735e+00
-8.025506336043682909e-01,1.491621646961176051e+00
-7.935843515543202775e-01,1.496800769232968342e+00
-7.845147127642932983e-01,1.482237147383309139e+00
-8.023485910015643041e-01,1.498897750493439984e+00
-7.970343138617805856e-01,1.492442726681380227e+00
-7.959156962194400275e-01,1.498337065514032229e+00
-8.125070940066251302e-01,1.493794323782209554e+00
-8.022313136071710371e-01,1.495905196262836689e+00
-8.346803875629837943e-01,1.495431942075430065e+00
-8.048567982424176259e-01,1.489808109199960207e+00
-8.065562843406688387e-01,1.496973806275747165e+00
-8.125200466907216423e-01,1.498549506974412582e+00
-8.110036223299434965e-01,1.499472272908217274e+00
-8.164823751441961930e-01,1.511202932075762062e+00
-8.006629178854008932e-01,1.501288962806332172e+00
-8.194198796009787289e-01,1.499996412136078039e+00
-8.105011710003902081e-01,1.500336555196378319e+00
-8.314247506604601767e-01,1.487507016463128329e+00
-8.405440195419885407e-01,1.496803178604474205e+00
-8.279489696186315140e-01,1.503061729882105180e+00
-8.191074085188615461e-01,1.499184377793938872e+00
-8.377903130691252143e-01,1.501283983327088123e+00
-8.183770109337105136e-01,1.490015378112268030e+00
-8.190240703295240676e-01,1.497502345931202683e+00
-8.390175044159805529e-01,1.501221987828950111e+00
-8.474391972327079969e-01,1.508674546112415582e+00
-8.613979750785927259e-01,1.502725082328288941e+00
-8.576627116998479794e-01,1.498999100990044964e+00
-8.298385238376915218e-01,1.489613121209271140e+00
-8.480985932445963549e-01,1.489978295893100491e+00
-8.468334828181860452e-01,1.492296960039732889e+00
-8.615339024711150540e-01,1.494119199998362291e+00
-8.392297314536331099e-01,1.489693982201141464e+00
-8.360512881372235139e-01,1.502163520745128045e+00
-8.521007694058431170e-01,1.493029415397784110e+00
-8.682821422182058768e-01,1.494492959313446834e+00
-8.688774130751445446e-01,1.493388027801816786e+00
-8.611632444498874550e-01,1.493614829305137448e+00
-8.348451007160621051e-01,1.501975867736991654e+00
-8.590346588395892935e-01,1.495583942320011683e+00
-8.845109824022778788e-01,1.495776495632380465e+00
-8.582873310437120207e-01,1.499160630693352925e+00
-8.819874512216741014e-01,1.500897438562288633e+00
-8.627536259501686899e-01,1.491559495154613835e+00
-8.640712813455344588e-01,1.496683632961428145e+00
-8.544732865823330137e-01,1.500091866899349036e+00
-8.458217850240755675e-01,1.499531034214690361e+00
-8.654046578586878091e-01,1.492968614543534578e+00
-8.827725024906967199e-01,1.495893522504502693e+00
-8.775845369841024368e-01,1.493265078009575753e+00
-8.543682546613768913e-01,1.499948144790487659e+00
-8.777537519967751889e-01,1.501080028333278360e+00
-8.724871359255639280e-01,1.499799479905391530e+00
-8.799681946822476286e-01,1.506152622782072292e+00
-8.733932087884265227e-01,1.500742012001195613e+00
-8.887206924417823117e-01,1.496871603016665997e+00
-8.910528673699691371e-01,1.490125915994972239e+00
-8.752127229356996274e-01,1.495363234881286418e+00
-8.837664950996636515e-01,1.494142090680161683e+00
-8.746865811280604142e-01,1.487436070700618673e+00
-8.872921999762829470e-01,1.495327030044728334e+00
-8.976376979197370209e-01,1.506334835237659320e+00
-8.962132770420265793e-01,1.496562340018440462e+00
-8.873362357064559225e-01,1.494131894530676519e+00
-8.913981416865449647e-01,1.490854080529394832e+00
-9.018043903593009336e-01,1.494597404749345104e+00
-9.008012994951367647e-01,1.486694944714107791e+00
-8.869091991948546694e-01,1.500279224280534063e+00
-8.943986665290877269e-01,1.493722860687686227e+00
-8.927444223126085321e-01,1.499838199102853986e+00
-9.392558014961249757e-01,1.498947915783808371e+00
-9.078243293565141370e-01,1.493919140787036026e+00
-9.166747670573531792e-01,1.492438690158387482e+00
-9.058642582123411779e-01,1.496742613041363912e+00
-9.071629991287883943e-01,1.486539989901641601e+00
-9.031318817199639470e-01,1.491954731436293313e+00
-9.224093889552087422e-01,1.488546189319052138e+00
-9.061245969667524047e-01,1.487189022350236867e+00
-9.017909900511603682e-01,1.498024980803579931e+00
-9.080179824727416804e-01,1.500203864637298379e+00
-9.223033972096964517e-01,1.490596480158760562e+00
-9.084532698732720180e-01,1.504595607031863569e+00
-8.909895730354738808e-01,1.488321178767053166e+00
-9.249697926808164716e-01,1.498575625158259594e+00
-9.253884877715430335e-01,1.505943318172984879e+00
-9.130440174121167152e-01,1.496057289985494698e+00
-9.274895259976495554e-01,1.498981452567551553e+00
-9.100521578258342625e-01,1.500221825789967101e+00
-9.129439745461178646e-01,1.494705610125191431e+00
-9.356102395639928071e-01,1.495008445863776902e+00
-9.347136254717832715e-01,1.494175623810336750e+00
-9.275763180716507517e-01,1.493910068126926172e+00
-9.353216298814516216e-01,1.503192459556770499e+00
-9.199991917435557109e-01,1.497464817949131000e+00
-8.995104988295683501e-01,1.505895412936873345e+00
-9.236305524337857786e-01,1.488174389826277366e+00
-9.261214826617987228e-01,1.498307806786736807e+00
-9.461219584942293093e-01,1.497299502628170353e+00
-9.511471898250016821e-01,1.496676106475622214e+00
-9.468376003374325833e-01,1.503231129313225667e+00
-9.056211882473201857e-01,1.501324473736147525e+00
-9.217857909686774098e-01,1.494142013474723862e+00
-9.380853480106295939e-01,1.493728901145286336e+00
-9.227007224189631707e-01,1.496758879377898088e+00
-9.348152332168832013e-01,1.495037350050599345e+00
-9.242283688508491357e-01,1.487236137735851615e+00
-9.480023848458379865e-01,1.495681327593217480e+00
-9.297503742928331372e-01,1.493960979704689551e+00
-9.249791253877400754e-01,1.504115313310000035e+00
-9.260344346229105739e-01,1.501884384625562507e+00
-9.496144742642648184e-01,1.495259445246181595e+00
-9.553419128955126238e-01,1.498796131335959680e+00
-9.225558490979206550e-01,1.503298540656548221e+00
-9.356198802249147128e-01,1.491787909522434230e+00
-9.616812216171602978e-01,1.500193010869431021e+00
-9.653000186530779070e-01,1.496302407102152232e+00
-9.514572677240692444e-01,1.497964365540139564e+00
-9.539641025728365920e-01,1.503942814850378618e+00
-9.339441518636881767e-01,1.499116756549095042e+00
-9.456727778974012288e-01,1.495819761815066817e+00
-9.432663142726021022e-01,1.490621062754877935e+00
-9.697263405987044393e-01,1.507913669844252791e+00
-9.479417552571163252e-01,1.497248340353680041e+00
-9.708631141143031495e-01,1.488824891733768307e+00
-9.406891708236601035e-01,1.494691649318750315e+00
-9.405726343796099176e-01,1.500008214672800433e+00
-9.511760049946380580e-01,1.497223814208019865e+00
-9.417140988724792550e-01,1.498855443562127743e+00
-9.527327015042127423e-01,1.496036255102065393e+00
-9.429736796171468427e-01,1.490294676123837592e+00
