x,v,phi,omega
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00
-1.139144305047510094e-04,-4.548698544779077209e-03,1.004399752654706185e-02,1.817410863617131356e-03
-4.539806010984827160e-04,-9.043854817265627177e-03,1.018992407039216730e-02,4.130333377634015993e-03
-1.017161751931663569e-03,-1.347035650195062446e-02,1.047119014911479518e-02,7.301542779504351967e-03
-1.799535946763627676e-03,-1.780743981602646644e-02,1.094243851583841243e-02,1.182865940112077380e-02
-2.795935611077495289e-03,-2.202538637716825592e-02,1.168813227452479044e-02,1.842245778763128283e-02
-3.999389363803875809e-03,-2.608081518268255683e-02,1.283583447189620350e-02,2.811866492772652909e-02
-5.400278614232287971e-03,-2.990983347050487490e-02,1.457626540226562677e-02,4.244080077565292458e-02
-6.985076924434590294e-03,-3.341798220475879211e-02,1.719328686219959851e-02,6.363957012698848170e-02
-8.734475698913604300e-03,-3.646543419388637713e-02,2.110851440697104550e-02,9.504613933295125161e-02
-1.062060686673542767e-02,-3.884523804266010877e-02,2.694752999590814546e-02,1.415938765385045817e-01
-1.260294244597584198e-02,-4.025156492324063334e-02,3.563797330436894312e-02,2.105875345047670821e-01
-1.462227816370500338e-02,-4.023416026905034942e-02,4.855451619559537219e-02,3.128311249367559665e-01
-1.659201915765280699e-02,-3.813563708045754341e-02,6.773218682719008010e-02,4.642609869405396883e-01
-1.838591810605267468e-02,-3.301382016899172267e-02,9.617736391002780494e-02,6.882428968021970794e-01
-1.982198594096874419e-02,-2.357489681419572616e-02,1.383119816498498134e-01,1.018586986202004274e+00
-2.049879641233897168e-02,-2.376098664421059936e-03,2.013093781077296140e-01,1.532215723155527787e+00
-1.993766808864892714e-02,2.607776631708902046e-02,2.951679937391709085e-01,2.265116493105948425e+00
-1.778016342001268943e-02,6.089587207043775652e-02,4.326868167665990361e-01,3.290214113942889984e+00
-1.386943456121845358e-02,9.370829225760450576e-02,6.299760822079372158e-01,4.660736778920807843e+00
-8.827122444717946242e-03,1.003797251886198449e-01,9.044822206227747241e-01,6.372767191263874587e+00
-4.991325216861366987e-03,3.676379676710769817e-02,1.272219594393578568e+00,8.387621350709473234e+00
-7.223954861477368920e-03,-1.505899146686156820e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.472662345070887072e-02,-1.495181048701540449e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.217589248973646579e-02,-1.484539235788643885e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.957214204492295342e-02,-1.473973164995520391e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.691574947754391878e-02,-1.463482297234633411e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.420708946304095777e-02,-1.453066097255351907e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.144653401013783017e-02,-1.442724033616642199e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.863445247982060349e-02,-1.432455578659952433e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.577121160418265833e-02,-1.422260208482292454e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.285717550513559626e-02,-1.412137402909502404e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.989270571298698331e-02,-1.402086645469714787e-01,1.495996501709425219e+00,0.000000000000000000e+00
-8.687816118488581041e-02,-1.392107423367002217e-01,1.495996501709425219e+00,0.000000000000000000e+00
-9.381389832313677402e-02,-1.382199227455215007e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.007002709933840778e-01,-1.372361552212004454e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.075376305426659351e-01,-1.362593895713030412e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.143263258173404795e-01,-1.352895759606352610e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.210667031808841387e-01,-1.343266649087004605e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.277591065315633045e-01,-1.333706072871748693e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.344038773199802417e-01,-1.324213543174010133e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.410013545664941248e-01,-1.314788575678990379e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.475518748785180634e-01,-1.305430689518956300e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.540557724676930029e-01,-1.296139407248706465e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.605133791669394461e-01,-1.286914254821211467e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.669250244473877154e-01,-1.277754761563428265e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.732910354351878401e-01,-1.268660460152285230e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.796117369281997334e-01,-1.259630886590839549e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.858874514125645472e-01,-1.250665580184604220e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.921184990791581226e-01,-1.241764083518041989e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.983051978399273385e-01,-1.232925942431228883e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.044478633441101645e-01,-1.224150705996681909e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.105468089943403343e-01,-1.215437926496353016e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.166023459626372771e-01,-1.206787159398785975e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.226147832062823351e-01,-1.198197963336435912e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.285844274835819867e-01,-1.189669900083150655e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.345115833695187724e-01,-1.181202534531812370e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.403965532712909747e-01,-1.172795434672137815e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.462396374437415825e-01,-1.164448171568636947e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.520411340046774806e-01,-1.156160319338728482e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.578013389500796726e-01,-1.147931455131011025e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.635205461692050610e-01,-1.139761159103689081e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.691990474595809535e-01,-1.131649014403151993e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.748371325418927924e-01,-1.123594607142706508e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.804350890747656644e-01,-1.115597526381459509e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.859932026694411711e-01,-1.107657364103351721e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.915117569043491619e-01,-1.099773715196340346e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.969910333395762159e-01,-1.091946177431730308e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.024313115312311506e-01,-1.084174351443651790e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.078328690457078909e-01,-1.076457840708684999e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.131959814738472514e-01,-1.068796251525628710e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.185209224449977450e-01,-1.061189192995413699e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.238079636409762485e-01,-1.053636277001158694e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.290573748099294704e-01,-1.046137118188368437e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.342694237800965529e-01,-1.038691333945272605e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.394443764734739188e-01,-1.031298544383305038e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.445824969193827525e-01,-1.023958372317721049e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.496840472679399459e-01,-1.016670443248353650e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.547492878034332331e-01,-1.009434385340506057e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.597784769576009567e-01,-1.002249829405980758e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.647718713228174092e-01,-9.951164088842430477e-02,1.495996501709425219e+00,0.000000000000000000e+00
-3.697297256651843611e-01,-9.880337598237187713e-02,1.495996501709425219e+00,0.000000000000000000e+00
-3.746522929375294964e-01,-9.810015208632257011e-02,1.495996501709425219e+00,0.000000000000000000e+00
-3.795398242923120335e-01,-9.740193332135363424e-02,1.495996501709425219e+00,0.000000000000000000e+00
-3.843925690944368090e-01,-9.670868406390722982e-02,1.495996501709425219e+00,0.000000000000000000e+00
-3.892107749339770439e-01,-9.602036894397290856e-02,1.495996501709425219e+00,0.000000000000000000e+00
-3.939946876388064623e-01,-9.533695284328298769e-02,1.495996501709425219e+00,0.000000000000000000e+00
-3.987445512871415909e-01,-9.465840089352083042e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.034606082199947985e-01,-9.398467847454179680e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.081430990535387937e-01,-9.331575121260693439e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.127922626913828608e-01,-9.265158497862921450e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.174083363367618871e-01,-9.199214588643220281e-02,1.495996501709425219e+00,0.000000000000000000e+00
-4.219915555046387379e-01,-9.133740029102122016e-02,1.495996501709425219e+00,0.000000000000000000e+00
