x,phi
1.056111007736216557e-02,6.248604930102404434e-03
1.576324381363724755e-02,1.616212279782750991e-02
-2.034106483858906435e-03,8.961175340684432097e-03
1.546571207638548079e-02,1.244821256870927775e-02
5.219084434861698436e-03,2.769995543930600657e-02
-1.271197137357985701e-02,3.233341737112251785e-02
-1.454636626083622222e-02,5.400102958588411800e-02
6.693109057926014717e-03,7.292847241184902130e-02
6.673672986374713095e-03,1.113529586926496756e-01
9.444429086436306742e-03,1.686363113893471766e-01
-1.930697284970114662e-03,2.264210335759741788e-01
-2.038569252951353064e-04,3.235804142203504985e-01
-1.422793078184264072e-03,4.458091283254320691e-01
9.591546334498830817e-03,6.218990135172065559e-01
-2.602891878043300366e-03,8.774787899091831544e-01
-1.661456817730707150e-02,1.223147922604212567e+00
-3.161837010663970382e-02,1.499493474822097827e+00
-4.673533927515147873e-02,1.491696769110410603e+00
-5.111891803131470707e-02,1.496687483599525859e+00
-5.669837960509709757e-02,1.500087880087870751e+00
-8.266372260991462773e-02,1.494900740774768755e+00
-7.998595279003835323e-02,1.485472170045710527e+00
-1.141983338360784278e-01,1.488737529233185253e+00
-1.105336674816165959e-01,1.489607813076842646e+00
-1.166420716787483353e-01,1.494247535121133952e+00
-1.435741238885040461e-01,1.489073511696074714e+00
-1.424412522731516029e-01,1.492861213714748780e+00
-1.602328674188037982e-01,1.503721527685391690e+00
-1.716649192688001757e-01,1.490562170570748357e+00
-1.979677099832066745e-01,1.497355723892685342e+00
-1.975457584903326791e-01,1.501473642111745610e+00
-2.117544604417869736e-01,1.496341551803049175e+00
-2.328272522199961447e-01,1.492911433062330762e+00
-2.477713193653056367e-01,1.503037086861420457e+00
-2.683775267232951234e-01,1.493600269340183306e+00
-2.631420915418755113e-01,1.485004544290622119e+00
-2.878312960773151130e-01,1.500639865887655189e+00
-2.867928534369201810e-01,1.496384251823573042e+00
-3.057519030091105372e-01,1.498949279214218500e+00
-3.146814300953146293e-01,1.496229741119716294e+00
-3.361925852744786503e-01,1.495644927748519981e+00
-3.398591064360463876e-01,1.488816321811204935e+00
-3.622056795491307435e-01,1.496529645502063133e+00
-3.793786981018847926e-01,1.495292397268464635e+00
-3.744983717162336245e-01,1.499062770477008089e+00
-4.059660961196441264e-01,1.496693656638824255e+00
-4.004706121496716675e-01,1.497597173277620763e+00
-4.108107522168910619e-01,1.488851033478765462e+00
-4.213261243560406100e-01,1.501148821974076730e+00
-4.466026201926400208e-01,1.497072875115215140e+00
-4.401336621475746558e-01,1.488912729351336228e+00
-4.661632823453198404e-01,1.492346471244335282e+00
-4.653823572926679697e-01,1.501511808428115158e+00
-4.911007150396035636e-01,1.501695743636716651e+00
-4.888419081806006372e-01,1.502618016706651405e+00
-4.944153969861794229e-01,1.497204414688711571e+00
-5.060858511823904671e-01,1.498394660637216713e+00
-5.137356474451575394e-01,1.503047392827157713e+00
-5.190138961609876977e-01,1.497780800829128456e+00
-5.211565371283950476e-01,1.495554360891084844e+00
-5.421171081172126982e-01,1.494091750297255716e+00
-5.653121482718146407e-01,1.498843724394734789e+00
-5.739149481673989639e-01,1.505454654725551400e+00
-5.796334401923678437e-01,1.491484531397740287e+00
-5.950802822027810857e-01,1.496152239678033569e+00
-6.046075880500221267e-01,1.496658459651215134e+00
-6.167053472011740922e-01,1.502472188845460854e+00
-6.303866919332332674e-01,1.500052744764344137e+00
-6.266999113632565344e-01,1.488453820460450938e+00
-6.392014087932345046e-01,1.494105789174390297e+00
-6.424042394971556380e-01,1.494828812131963502e+00
-6.672400982144087722e-01,1.504080286337422079e+00
-6.781946692242964980e-01,1.494574847120022421e+00
-6.851875381035148482e-01,1.491465979633061378e+00
-6.882054424650259072e-01,1.501263539112521528e+00
-6.993233270109294741e-01,1.499455075598095766e+00
-7.065310020430370930e-01,1.507913152935891121e+00
-7.301189567990379325e-01,1.501038713739472508e+00
-7.402405749349024733e-01,1.504360129122735534e+00
-7.556092954697798403e-01,1.497010321378388520e+00
-7.449368570201816420e-01,1.497318820557541841e+00
-7.529858060865020075e-01,1.489327908198928130e+00
-7.852834210866319609e-01,1.497377873850395558e+00
-7.714478138433857879e-01,1.500705870363676864e+00
-8.039535217000288725e-01,1.499772323123384155e+00
-7.706096027989076669e-01,1.493251234977739594e+00
-8.077951121245405819e-01,1.491874401796602356e+00
-8.050860948416272977e-01,1.490718558005571071e+00
-8.301894106961996700e-01,1.498326226132123073e+00
-8.289339896387899476e-01,1.509245998629084484e+00
-8.424342676595976132e-01,1.494247164522883864e+00
-8.419069726511277940e-01,1.495722953659107679e+00
-8.490915873799548264e-01,1.498091464057446309e+00
-8.659896784608478448e-01,1.499970276524779322e+00
-8.644703848037552651e-01,1.497596783991647529e+00
-8.692359356147114635e-01,1.497758102401131053e+00
-8.767574691695168010e-01,1.506427365981239941e+00
-9.019933054122423188e-01,1.495215482353737357e+00
-9.106430582885975955e-01,1.498340751192007714e+00
-9.113381992575272372e-01,1.497562004980484307e+00
-9.221493042664559159e-01,1.500717531040056452e+00
-9.342476317050729673e-01,1.493945569912822791e+00
-9.342441940905169551e-01,1.497948146924327650e+00
-9.563027238772312533e-01,1.492709447738054696e+00
-9.551320855174081359e-01,1.496002726567402963e+00
-9.552870020206816193e-01,1.501438316112835736e+00
-9.437668402318146743e-01,1.497527704218605038e+00
-9.537290410733989532e-01,1.503696861664744810e+00
-9.531009290253396049e-01,1.489201737080393606e+00
-9.436130288295228041e-01,1.493788852336890294e+00
-9.413746065962328435e-01,1.495076188481275326e+00
-9.690263886506447211e-01,1.491519684324094319e+00
-9.415327285918396738e-01,1.488490948682768211e+00
-9.691104673069959041e-01,1.498255022650256674e+00
-9.419383270608366887e-01,1.502514786032819405e+00
-9.756665455063910919e-01,1.493263516336461150e+00
-9.281861402570091846e-01,1.505016321022912829e+00
-9.660641349238694442e-01,1.496410287004677597e+00
-9.383663631648760939e-01,1.489742988386733691e+00
-9.476562461462882947e-01,1.490273601466204578e+00
-9.460285165025393850e-01,1.493221736567220903e+00
-9.551488556107560202e-01,1.496686964571581901e+00
-9.317839911570979794e-01,1.495387495724571858e+00
-9.379313819731208701e-01,1.494665816192162877e+00
-9.482305110018010019e-01,1.491258690731737779e+00
-9.464000323092177647e-01,1.488395501705721768e+00
-9.561522854993472764e-01,1.495231510655670393e+00
-9.618896833873245011e-01,1.494716594512649932e+00
-9.634825283536714302e-01,1.493183175003764074e+00
-9.720458384885382053e-01,1.490540820829670210e+00
-9.433187302334666846e-01,1.495771472764206189e+00
-9.546329453317125013e-01,1.498701220127695688e+00
-9.514502400998160470e-01,1.493408039759573036e+00
-9.528817767541845063e-01,1.487664045564565107e+00
-9.482561155823272525e-01,1.493556573850047586e+00
-9.434640333027294323e-01,1.501474766831264018e+00
-9.449655559239716895e-01,1.502020735160331855e+00
-9.458716443043612143e-01,1.496527439547360672e+00
