x,v,phi,omega
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00
3.377363242498362841e-05,1.366218715775742052e-03,1.078994761462456070e-02,3.199288037457379691e-02
1.399922380213262246e-04,2.935848898502794319e-03,1.328194104359207636e-02,6.897587425636508840e-02
3.347988727623648492e-04,4.956072387846394492e-03,1.786613731883383849e-02,1.167763498789010368e-01
6.482651625536444556e-04,7.743997190701366884e-03,2.526205191169368300e-02,1.829126033136992957e-01
1.129040947202988561e-03,1.173487218647593054e-02,3.663095993951925172e-02,2.777637823085318813e-01
1.851764907210944923e-03,1.754499485800632697e-02,5.375650834260826266e-02,4.161578722103344563e-01
2.928033591249324698e-03,2.605054939142264353e-02,7.931894391853236415e-02,6.195573089216411811e-01
4.521469543262006743e-03,3.846710048682232264e-02,1.172964686618206132e-01,9.189616833205831448e-01
5.736639218347721822e-03,1.123314310350062573e-02,1.678758596650264390e-01,1.130473515701887477e+00
5.759809464723316536e-03,-9.059304124862339880e-03,2.332080303253756259e-01,1.515553451378443217e+00
4.960172389122764064e-03,-2.160819250088993893e-02,3.230985941133639461e-01,2.122274314548030727e+00
3.718709825867350799e-03,-2.717561559023419504e-02,4.501368597709738406e-01,3.011953663432029416e+00
2.262602538907298837e-03,-3.210582735391927928e-02,6.299359384140339468e-01,4.239404507876368911e+00
2.178029781935795356e-04,-5.541256308615348514e-02,8.800041053931688673e-01,5.821004168096600040e+00
-4.197714289258384565e-03,-1.347418251204771933e-01,1.217563774524134113e+00,7.737239724614913605e+00
-1.416757756127054631e-02,-2.868189979368507836e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.845743150900070448e-02,-2.847775902300321849e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.264557874208488308e-02,-2.827507120538773067e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.673274314866371543e-02,-2.807382599957946034e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.071964346467089768e-02,-2.787401313792221558e-01,1.495996501709425219e+00,0.000000000000000000e+00
-8.460699331050354488e-02,-2.767562242583889165e-01,1.495996501709425219e+00,0.000000000000000000e+00
-9.839550122743156990e-02,-2.747864374131134824e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.120858707137478982e-01,-2.728306703436397251e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.256788002606613330e-01,-2.708888232655092265e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.391749833879341314e-01,-2.689607971044702395e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.525751086792656863e-01,-2.670464934914228983e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.658798598174245631e-01,-2.651458147574001778e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.790899156191304575e-01,-2.632586639285850461e-01,1.495996501709425219e+00,0.000000000000000000e+00
-1.922059500696877699e-01,-2.613849447213625887e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.052286323573727922e-01,-2.595245615374076054e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.181586269075761197e-01,-2.576774194588071221e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.309965934167020618e-01,-2.558434242432177097e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.437431868858267459e-01,-2.540224823190570524e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.563990576541166355e-01,-2.522145007807299333e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.689648514320093775e-01,-2.504193873838881368e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.814412093341581711e-01,-2.486370505407240195e-01,1.495996501709425219e+00,0.000000000000000000e+00
-2.938287679121419638e-01,-2.468673993152977753e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.061281591869426943e-01,-2.451103434188976748e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.183400106811913322e-01,-2.433657932054335837e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.304649454511845996e-01,-2.416336596668631209e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.425035821186735441e-01,-2.399138544286504027e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.544565349024261236e-01,-2.382062897452571770e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.663244136495649728e-01,-2.365108784956659049e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.781078238666822355e-01,-2.348275341789348714e-01,1.495996501709425219e+00,0.000000000000000000e+00
-3.898073667507327977e-01,-2.331561709097847990e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.014236392197078063e-01,-2.314967034142169366e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.129572339430897521e-01,-2.298490470251623730e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.244087393720909485e-01,-2.282131176781622139e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.357787397696765153e-01,-2.265888319070785695e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.470678152403739780e-01,-2.249761068398360708e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.582765417598704816e-01,-2.233748601941937251e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.694054912043994499e-01,-2.217850102735467177e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.804552313799180796e-01,-2.202064759627583301e-01,1.495996501709425219e+00,0.000000000000000000e+00
-4.914263260510771669e-01,-2.186391767240213335e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.023193349699847099e-01,-2.170830325927488313e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.131348139047647861e-01,-2.155379641734945506e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.238733146679132036e-01,-2.140038926359019156e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.345353851444514248e-01,-2.124807397106821816e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.451215693198797618e-01,-2.109684276856209906e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.556324073079322856e-01,-2.094668794016134872e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.660684353781331168e-01,-2.079760182487276343e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.764301859831579833e-01,-2.064957681622955066e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.867181877859996009e-01,-2.050260536190324223e-01,1.495996501709425219e+00,0.000000000000000000e+00
-5.969329656869408751e-01,-2.035667996331836649e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.070750408503353679e-01,-2.021179317526987373e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.171449307311976940e-01,-2.006793760554327066e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.271431491016039583e-01,-1.992510591453746649e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.370702060769052322e-01,-1.978329081489030583e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.469266081417537340e-01,-1.964248507110675779e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.567128581759437145e-01,-1.950268149918975846e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.664294554800692660e-01,-1.936387296627367915e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.760768958009986118e-01,-1.922605239026040358e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.856556713571673178e-01,-1.908921273945799468e-01,1.495996501709425219e+00,0.000000000000000000e+00
-6.951662708636917598e-01,-1.895334703222193162e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.046091795573037331e-01,-1.881844833659890304e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.139848792211074269e-01,-1.868450976997313717e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.232938482091602062e-01,-1.855152449871523834e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.325365614708788664e-01,-1.841948573783354359e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.417134905752714724e-01,-1.828838675062793573e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.508251037349972234e-01,-1.815822084834614047e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.598718658302551221e-01,-1.802898138984245502e-01,1.495996501709425219e+00,0.000000000000000000e+00
-7.688542384325022239e-01,-1.790066178123892460e-01,1.495996501709425219e+00,0.000000000000000000e+00
