x,phi
-1.037613673650069832e-02,3.630500858756094927e-03
3.528347103341809756e-03,1.426235196504827170e-02
-1.105782787433753564e-02,1.295373036424350699e-02
2.216377807594425205e-03,2.203247284032971987e-02
5.030888342613853807e-03,1.644383091883875117e-02
-3.561732041906680128e-03,3.910856661172848470e-02
1.715991681036694791e-02,5.261842366514219577e-02
-1.635099984976436799e-02,8.086154321719066229e-02
-2.384943726575605716e-03,1.285171689011141982e-01
1.009574874140827666e-02,1.858595074288981186e-01
2.439290988231189450e-02,2.584209025736913801e-01
2.491576157785928974e-02,3.720570618515826600e-01
3.238733505927143125e-02,5.557245515107205325e-01
2.518895576145594242e-02,8.075869978092657941e-01
3.458223644491596749e-02,1.130496187053023682e+00
2.843864909161498977e-02,1.492259795100350894e+00
2.040740485288950953e-02,1.488227289631172789e+00
3.558124263941894738e-02,1.490722660922035869e+00
3.751048092898721931e-02,1.492593757621226924e+00
2.195603612388244072e-02,1.495375335858444510e+00
3.378619790648228205e-02,1.497006402264811964e+00
3.397840177312397292e-02,1.493435896846952549e+00
3.487535734258599002e-02,1.487435622417572212e+00
3.142530261312254797e-02,1.500800288167676966e+00
4.018735811434061972e-02,1.494655794018575401e+00
4.616357029107694826e-02,1.487441272170214601e+00
2.854151487063996684e-02,1.502197226788034801e+00
5.410073224706181405e-02,1.498050836371351169e+00
2.943115825925362791e-02,1.497581339297338054e+00
4.032202959369756562e-02,1.498132727347820659e+00
4.547459412029047909e-02,1.494572111754055355e+00
3.147181792679035195e-02,1.496587131318730224e+00
3.897539097613017534e-02,1.494766122639164418e+00
3.226506151175150688e-02,1.493209125169589147e+00
2.799242703408983193e-02,1.496559404339744992e+00
4.542206556291675246e-02,1.504362787196248386e+00
3.566168425794189606e-02,1.500152390393953095e+00
4.700150493877304492e-02,1.506466383526183117e+00
2.623454513584555503e-02,1.493805276371100721e+00
3.011972035113704566e-02,1.508377725420262161e+00
2.501752302990872118e-02,1.492490582224435869e+00
1.579343439219532685e-02,1.501328038196074299e+00
4.773517215117491913e-02,1.493004134831341645e+00
