x,v,phi,omega
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00
3.377363242498362841e-05,1.366218715775742052e-03,1.078994761462456070e-02,3.199288037457379691e-02
1.399922380213262246e-04,2.935848898502794319e-03,1.328194104359207636e-02,6.897587425636508840e-02
3.347988727623648492e-04,4.956072387846394492e-03,1.786613731883383849e-02,1.167763498789010368e-01
6.482651625536444556e-04,7.743997190701366884e-03,2.526205191169368300e-02,1.829126033136992957e-01
1.129040947202988561e-03,1.173487218647593054e-02,3.663095993951925172e-02,2.777637823085318813e-01
1.851764907210944923e-03,1.754499485800632697e-02,5.375650834260826266e-02,4.161578722103344563e-01
2.928033591249324698e-03,2.605054939142264353e-02,7.931894391853236415e-02,6.195573089216411811e-01
4.521469543262006743e-03,3.846710048682232264e-02,1.172964686618206132e-01,9.189616833205831448e-01
6.865496704690995239e-03,5.635594616690811631e-02,1.735263822323525607e-01,1.358287040101729959e+00
1.027503881676881080e-02,8.130359605934561751e-02,2.564209344294482440e-01,1.996713192797578751e+00
1.512071280756057887e-02,1.135608350974030845e-01,3.776852539211247861e-01,2.905170989737231757e+00
2.167950892255898418e-02,1.481689476333588051e-01,5.525147407289812129e-01,4.147229828488852910e+00
2.969863068084045363e-02,1.674351440161632176e-01,7.983133633337063939e-01,5.741224133557906839e+00
3.755870936898202117e-02,1.339115934058563995e-01,1.131848566883634666e+00,7.649730138348862951e+00
4.133339809183193825e-02,-4.983390319991343187e-03,1.495996501709425219e+00,0.000000000000000000e+00
4.108511635195608719e-02,-4.947921500009079369e-03,1.495996501709425219e+00,0.000000000000000000e+00
4.083860173441485053e-02,-4.912705126074616742e-03,1.495996501709425219e+00,0.000000000000000000e+00
4.059384166187834236e-02,-4.877739401426544642e-03,1.495996501709425219e+00,0.000000000000000000e+00
4.035082364653467396e-02,-4.843022542091734127e-03,1.495996501709425219e+00,0.000000000000000000e+00
4.010953528945278984e-02,-4.808552776794321366e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.986996427994988351e-02,-4.774328346865334624e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.963209839496330267e-02,-4.740347506152965684e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.939592549842690916e-02,-4.706608520933480526e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.916143354065188681e-02,-4.673109669822763171e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.892861055771197620e-02,-4.639849243688490971e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.869744467083306022e-02,-4.606825545562930925e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.846792408578708633e-02,-4.574036890556363102e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.824003709229033265e-02,-4.541481605771112949e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.801377206340594839e-02,-4.509158030216200291e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.778911745495072000e-02,-4.477064514722596360e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.756606180490609792e-02,-4.445199421859079292e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.734459373283338657e-02,-4.413561125848692451e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.712470193929311851e-02,-4.382148012485796891e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.690637520526852955e-02,-4.350958479053712753e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.668960239159317627e-02,-4.319990934242948742e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.647437243838260595e-02,-4.289243798070010993e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.626067436447007186e-02,-4.258715501796792209e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.604849726684625916e-02,-4.228404487850533251e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.583783032010302155e-02,-4.198309209744356327e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.562866277588105229e-02,-4.168428131998360223e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.542098396232149643e-02,-4.138759730061281061e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.521478328352146969e-02,-4.109302490232705565e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.501005021899344233e-02,-4.080054909585844637e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.480677432312848790e-02,-4.051015495890851643e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.460494522466334155e-02,-4.022182767538687136e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.440455262615123300e-02,-3.993555253465528275e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.420558630343652207e-02,-3.965131493077712552e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.400803610513306041e-02,-3.936910036177217534e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.381189195210623777e-02,-3.908889442887671442e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.361714383695876135e-02,-3.881068283580889344e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.342378182352006427e-02,-3.853445138803932805e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.323179604633935691e-02,-3.826018599206688214e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.304117671018227259e-02,-3.798787265469961635e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.285191408953112846e-02,-3.771749748234084088e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.266399852808871823e-02,-3.744904668028025546e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.247742043828562991e-02,-3.718250655199012867e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.229217030079109541e-02,-3.691786349842650795e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.210823866402730264e-02,-3.665510401733537791e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.192561614368717021e-02,-3.639421470256376696e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.174429342225556366e-02,-3.613518224337575451e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.156426124853388415e-02,-3.587799342377335707e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.138551043716809874e-02,-3.562263512182223257e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.120803186818007016e-02,-3.536909430898219422e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.103181648650227623e-02,-3.511735804944248612e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.085685530151579051e-02,-3.486741349946179038e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.068313938659159024e-02,-3.461924790671293099e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.051065987863510812e-02,-3.437284860963224411e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.033940797763403502e-02,-3.412820303677356702e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.016937494620933538e-02,-3.388529870616685449e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.000055210916945797e-02,-3.364412322468131843e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.983293085306773160e-02,-3.340466428739313851e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.966650262576289027e-02,-3.316690967695765276e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.950125893598274859e-02,-3.293084726298601932e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.933719135289095808e-02,-3.269646500142631921e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.917429150565687551e-02,-3.246375093394906087e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.901255108302847052e-02,-3.223269318733705188e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.885196183290827596e-02,-3.200327997287963355e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.869251556193237046e-02,-3.177549958577119589e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.853420413505234135e-02,-3.154934040451401207e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.837701947512023121e-02,-3.132479089032528391e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.822095356247643697e-02,-3.110183958654843314e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.806599843454053722e-02,-3.088047511806857760e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.791214618540504774e-02,-3.066068619073216654e-03,1.495996501709425219e+00,0.000000000000000000e+00
