x,phi
8.140332998941049794e-03,1.492878281305167962e-02
-4.119751152665350469e-03,1.425283896977394722e-02
2.595094287305079947e-02,9.017715867604129965e-03
7.818112230655042266e-03,1.899256501509146919e-02
2.295956970732340729e-02,1.736750486999603937e-02
5.523854419071268923e-03,3.487819550769775956e-02
9.704072631468808885e-03,5.372506683530043486e-02
3.983241170132670317e-03,8.037884532245465063e-02
-5.385213186891182890e-03,1.188808619301520708e-01
1.263607420729176770e-02,1.755154133668427041e-01
4.856729208674229539e-03,2.590315240295008037e-01
1.621559685001925169e-02,3.788064355182699794e-01
2.913341723079529433e-02,5.533432543884676535e-01
4.375553062469966781e-02,7.998922037222773174e-01
2.332698316268887878e-02,1.125473289400037435e+00
2.535713699956795159e-02,1.562300526220489649e+00
3.541622003959953718e-02,2.127828525247930980e+00
2.418304898560184185e-02,2.833904219201002217e+00
-1.455641832764353188e-02,-2.671659716495068171e+00
-4.489702794807647057e-02,-1.999613999342299664e+00
-4.554951265545590516e-02,-1.480074472625857673e+00
-3.248969400219249570e-02,-1.071299306108048910e+00
-4.591002923486714460e-02,-7.410057442383886084e-01
-2.883373953183027139e-03,-5.396079474424100297e-01
-2.067977368146455344e-02,-3.811559541178235477e-01
-1.931928349241930284e-02,-2.844654631477618878e-01
1.293147219108736756e-02,-2.204954302727770710e-01
-9.364350953851990900e-05,-1.965481879112820351e-01
-1.465197699473901050e-02,-2.112107729733541106e-01
-1.564304342467104370e-02,-2.613508463324150100e-01
-9.209005127606216534e-03,-3.484812979543683298e-01
-3.563894086330499783e-02,-4.776331350079576765e-01
-3.146519558222227869e-02,-6.785891966647019657e-01
-2.236287189904024447e-02,-9.568054699845438549e-01
-5.601821433626712199e-02,-1.337062910592019982e+00
-5.188276208167469372e-02,-1.833225970781414915e+00
-2.482335734769924862e-02,-2.454764978506978945e+00
1.212010816907805114e-02,3.068419755716247810e+00
3.124283648348885264e-02,2.333894920199991230e+00
3.918281368155916711e-02,1.741873093365942538e+00
4.126361254069358525e-02,1.273343029408537497e+00
2.999854523123848468e-02,9.151747024637826300e-01
3.369884566130661868e-02,6.519914722639320592e-01
2.340826535239061423e-02,4.832909092162072651e-01
1.683249634377475754e-02,3.549099721890969228e-01
1.243305799498697038e-02,2.971436957189557138e-01
1.340484927530581627e-02,2.835908064941971007e-01
3.448223445121428865e-02,3.256172522763286503e-01
4.484711941730043505e-03,3.919733014760710677e-01
3.612044524707801879e-02,5.157516139230962082e-01
2.994447833592334823e-02,7.208641126436153845e-01
3.538982172603091086e-02,1.009988282396184989e+00
4.330149035371260585e-02,1.384745610729070542e+00
