x,v,phi,omega
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,0.000000000000000000e+00
3.377363242498362841e-05,1.366218715775742052e-03,1.078994761462456070e-02,3.199288037457379691e-02
1.399922380213262246e-04,2.935848898502794319e-03,1.328194104359207636e-02,6.897587425636508840e-02
3.347988727623648492e-04,4.956072387846394492e-03,1.786613731883383849e-02,1.167763498789010368e-01
6.482651625536444556e-04,7.743997190701366884e-03,2.526205191169368300e-02,1.829126033136992957e-01
1.129040947202988561e-03,1.173487218647593054e-02,3.663095993951925172e-02,2.777637823085318813e-01
1.851764907210944923e-03,1.754499485800632697e-02,5.375650834260826266e-02,4.161578722103344563e-01
2.928033591249324698e-03,2.605054939142264353e-02,7.931894391853236415e-02,6.195573089216411811e-01
4.521469543262006743e-03,3.846710048682232264e-02,1.172964686618206132e-01,9.189616833205831448e-01
6.865496704690995239e-03,5.635594616690811631e-02,1.735263822323525607e-01,1.358287040101729959e+00
1.027503881676881080e-02,8.130359605934561751e-02,2.564209344294482440e-01,1.996713192797578751e+00
1.512071280756057887e-02,1.135608350974030845e-01,3.776852539211247861e-01,2.905170989737231757e+00
2.167950892255898418e-02,1.481689476333588051e-01,5.525147407289812129e-01,4.147229828488852910e+00
2.969863068084045363e-02,1.674351440161632176e-01,7.983133633337063939e-01,5.741224133557906839e+00
3.755870936898202117e-02,1.339115934058563995e-01,1.131848566883634666e+00,7.649730138348862951e+00
4.133339809183193825e-02,-4.983390319991343187e-03,1.568572489391075520e+00,9.885054416888563011e+00
3.454105572741815455e-02,-2.913444532051572278e-01,2.128917269868759732e+00,1.262468900406802419e+01
1.094752137413922827e-02,-6.306444710901267792e-01,2.834563186793916501e+00,1.539992188095743586e+01
-2.115283793669665846e-02,-5.663298062828204804e-01,3.609526636943855671e+00,1.489586509601264197e+01
-4.053434594960358961e-02,-2.068648708267539216e-01,4.281977009391656708e+00,1.193485243093890524e+01
-4.389697440816360541e-02,4.614918923876043522e-02,4.810815008409750959e+00,9.313277994299108187e+00
-3.835363425911759994e-02,1.551228171865896566e-01,5.220781392118052366e+00,7.142313466797549637e+00
-2.995558470248339128e-02,1.695750592335376894e-01,5.529821290595240413e+00,5.266795666164565404e+00
-2.210633324332469604e-02,1.404582042115177509e-01,5.752525289311871681e+00,3.696108444881834210e+00
-1.607276672722826941e-02,1.007007844158741977e-01,5.904919564115396646e+00,2.453278127782766660e+00
-1.197817341975766087e-02,6.402489076040751570e-02,6.002606125755933775e+00,1.496042789348632107e+00
-9.574958967145427713e-03,3.296876332150552869e-02,6.057842562606845505e+00,7.395338116090200975e-01
-8.618532355308402421e-03,5.687424294535285002e-03,6.078306372977787753e+00,8.930023951009002925e-02
-8.995036299374587277e-03,-2.089529944518161292e-02,6.066995283063641331e+00,-5.468343546787267639e-01
-1.074965883571557881e-02,-4.993495592001284678e-02,6.022335546339352419e+00,-1.260214799809205033e+00
-1.407023865214082452e-02,-8.376244791933953882e-02,5.938130653585441898e+00,-2.144461593537439370e+00
-1.919847545004023381e-02,-1.215907232856174303e-01,5.803538700642232762e+00,-3.289217472102274442e+00
-2.615263713297366621e-02,-1.540281605995407754e-01,5.603836755637073175e+00,-4.754003498432285646e+00
-3.409360860812177957e-02,-1.549384989869984908e-01,5.322826855680332869e+00,-6.536006756189861377e+00
-4.037039932641504208e-02,-7.870297721018948423e-02,4.945491736161338636e+00,-8.608417731866847333e+00
-3.979252100205966231e-02,1.268119891069967309e-01,4.455658148636915783e+00,-1.106822402553283879e+01
-2.525096794773111150e-02,4.683911282158772504e-01,3.829368851159307141e+00,-1.402174922268949686e+01
4.971864451289727260e-03,6.707437580829936907e-01,3.072877588952108052e+00,-1.567264888190843841e+01
3.283138480868995346e-02,3.934414346964701381e-01,2.334427610019123911e+00,-1.344152440477498978e+01
4.386771384032821242e-02,6.821326594584531389e-02,1.736661026800762286e+00,-1.054185804256772130e+01
4.222847756902751992e-02,-1.093474166024757666e-01,1.271022890547211404e+00,-8.158164846013672644e+00
3.497427572338052820e-02,-1.648889589909523501e-01,9.152868778271737726e-01,-6.117843686381553070e+00
2.687038967091825298e-02,-1.518954044979960727e-01,6.547319763580946583e-01,-4.352649689043692760e+00
2.019751447604307623e-02,-1.131415390683156996e-01,4.749599123432465264e-01,-2.889968562355518689e+00
1.560092144589587081e-02,-7.106215672041105158e-02,3.609462262383305586e-01,-1.713699906825129959e+00
1.302907061609632870e-02,-3.247675117131005457e-02,3.001480815448638317e-01,-7.446936775258788943e-01
1.230508734472787399e-02,3.257609107248760072e-03,2.848419646081647993e-01,1.250825221315545743e-01
1.335818199071069946e-02,3.914904956271320763e-02,3.129221948113521390e-01,1.010125351217392886e+00
1.626897133828390796e-02,7.783283976129995452e-02,3.880075711508970127e-01,2.023959253146748072e+00
2.118081648622607491e-02,1.184759484220131720e-01,5.191956322707363958e-01,3.269307437734391364e+00
2.799286603182871147e-02,1.508627873557884524e-01,7.199243169737372661e-01,4.811152324492994126e+00
3.568747463036013590e-02,1.474241090479941618e-01,1.005265941839952770e+00,6.649137314679998134e+00
4.137205992905180346e-02,6.170764091790061079e-02,1.389412498169873666e+00,8.767933739690562334e+00
3.962188219869321182e-02,-1.568566192621333455e-01,1.888586669909788851e+00,1.128419724647802802e+01
2.337712182232202368e-02,-5.017817715070790330e-01,2.526572971995711292e+00,1.424278714568971438e+01
-7.535854228852487124e-03,-6.581699227632065163e-01,3.286310748440416596e+00,1.552623711958005970e+01
-3.390344201635320243e-02,-3.566892248231944840e-01,4.010234539749478522e+00,1.308374852770457153e+01
-4.342764794637427039e-02,-4.636191449077436966e-02,4.591119120476792048e+00,1.023222956110832982e+01
-4.110269201959106805e-02,1.157243998581766464e-01,5.042241187325980256e+00,7.881535615783809234e+00
-3.380037578677335536e-02,1.613851411868617303e-01,5.384437248412642596e+00,5.850544605667487019e+00
-2.601305592382352483e-02,1.433648553961093808e-01,5.631643243894869144e+00,4.084138650274705462e+00
-1.983699351200138988e-02,1.019860983787785058e-01,5.797631041493815474e+00,2.602998782329459804e+00
-1.585821551110799116e-02,5.738225632005954785e-02,5.896197492651603866e+00,1.376152928309105850e+00
-1.405755911646278285e-02,1.503792155984724072e-02,5.937925083036261320e+00,3.105644373294065286e-01
-1.433529130767747552e-02,-2.616607977188706996e-02,5.927909486255917848e+00,-7.148309522103135638e-01
-1.669719701823239866e-02,-6.860974323760056504e-02,5.865001474610008536e+00,-1.825871860607650499e+00
-2.121299638503646237e-02,-1.116504965801226879e-01,5.741973729289232331e+00,-3.136351550390209297e+00
-2.772064602469892849e-02,-1.453634857828527693e-01,5.546768129654792823e+00,-4.719871438883179060e+00
-3.515862067561112414e-02,-1.425951313027271627e-01,5.265299134410831527e+00,-6.583382400518186017e+00
-4.061541721822918560e-02,-5.746404003945836114e-02,4.884018684971450419e+00,-8.717719321701439483e+00
-3.867790075520006338e-02,1.599405005370329036e-01,4.387127148032187840e+00,-1.124144702469220647e+01
-2.233985238365262041e-02,5.020406173228690871e-01,3.751395616258557997e+00,-1.419137187537287126e+01
8.487011121703712246e-03,6.550494873774617144e-01,2.994865324566212017e+00,-1.545178352794443377e+01
3.473892242149968779e-02,3.558094446568001445e-01,2.274534298676168298e+00,-1.301756832322983648e+01
4.429568534193330243e-02,4.835701120983559864e-02,1.696798533461727043e+00,-1.017013490906048823e+01
4.211841300071940408e-02,-1.119737720224949773e-01,1.248932979567442425e+00,-7.811812786746479276e+00
3.503187547390858997e-02,-1.565735151757855492e-01,9.105904240771611757e-01,-5.764610995174086483e+00
2.750876273300005906e-02,-1.375655721999811953e-01,6.683107816257125577e-01,-3.970615022269608829e+00
2.165767438266397171e-02,-9.465358852183902716e-02,5.090438453173731226e-01,-2.444083179744603207e+00
1.810312606829270199e-02,-4.756465680106698735e-02,4.200633694305603294e-01,-1.146748253724007682e+00
1.687850861444507855e-02,-1.634934511399149804e-03,3.922377229849507430e-01,2.238584965804468752e-02
1.793425763838555828e-02,4.393253805358170866e-02,4.223293124513504693e-01,1.192316292599494787e+00
2.128211685188663091e-02,8.983857330538715102e-02,5.136469567366518385e-01,2.491567257818098735e+00
