x,phi
-3.528279085384607421e-03,1.495445281333519949e+00
-4.287864010897438939e-03,1.498835317910440335e+00
-1.639772664338937785e-02,1.492081540735624268e+00
-9.864169053288006708e-03,1.506432777163682735e+00
-1.480642196117585956e-02,1.496933317692586751e+00
-1.893984488818394388e-02,1.496151134906126723e+00
3.440178743557657619e-03,1.489274452748674538e+00
1.687856924829435334e-02,1.497500265617023096e+00
8.855918073054847711e-03,1.491595613303523082e+00
-1.965015106564739315e-03,1.496953657599545018e+00
3.605745990415803667e-03,1.498690093872386608e+00
8.605856355619594805e-03,1.503307807292044718e+00
6.814177722273163408e-03,1.500069931349010233e+00
1.559124140419021996e-02,1.495119121717243926e+00
-4.893270023908752493e-03,1.488111005174594270e+00
1.741224773991897467e-03,1.498204241709855333e+00
1.490434363510037292e-03,1.495587836884296085e+00
-7.644248304386000968e-03,1.500850412542855006e+00
1.397265909619874874e-02,1.499634839650483276e+00
1.238732099561091343e-02,1.494519814560794524e+00
4.821046766433115596e-03,1.506353559491388383e+00
1.562355231222549608e-02,1.502309444811548822e+00
1.679076738319645185e-02,1.493844189129019728e+00
-4.533010201593513228e-04,1.493395095607938039e+00
-1.311976910792149453e-02,1.501582659425269473e+00
1.951205531946408750e-02,1.490543672863928970e+00
-3.907007357240905795e-03,1.497879041174646764e+00
2.259911069999251745e-02,1.500172556360732212e+00
1.406403631491775705e-02,1.501229150143580826e+00
1.259293701844009170e-02,1.498148448858496629e+00
4.270602317208754134e-03,1.491978862513415161e+00
2.046358629522164810e-02,1.497705362628467984e+00
1.626524631501951451e-02,1.493949721646733231e+00
1.109305998861924783e-02,1.498986447709802494e+00
9.166257837182183524e-03,1.495391450079738282e+00
2.381161971089386375e-02,1.492165994494831338e+00
3.485420545405354398e-02,1.491192071914268835e+00
1.927395134130102661e-02,1.489608989251088866e+00
3.351955181931778882e-02,1.499871862673215261e+00
1.380839740120052596e-02,1.498696471644227701e+00
3.640785758345706224e-02,1.493785724886589561e+00
2.927062225573225096e-02,1.497001449413073226e+00
2.253343853015949555e-02,1.501679020626453420e+00
3.755421568336046734e-02,1.495973973637797050e+00
2.087179365895244082e-02,1.495611580367648186e+00
2.154845898565957429e-02,1.490168194420556258e+00
1.481972731111632496e-02,1.504535375677563236e+00
4.227782570610777446e-02,1.489615382626138684e+00
5.412822675870521127e-02,1.495024150907325433e+00
3.732210799381943667e-02,1.497157784998175423e+00
3.260481803297584497e-02,1.506364596842264092e+00
3.361734924484239412e-02,1.497979575242120776e+00
5.199151309213820293e-02,1.501210044301249713e+00
5.813218921065357869e-02,1.489974170996116953e+00
5.133927038357492811e-02,1.496454297404761213e+00
5.491916831022608525e-02,1.488719649418394297e+00
3.774567844605117295e-02,1.493576081495980201e+00
2.546942159114769233e-02,1.505164652231012923e+00
5.240747694555787650e-02,1.496383059087902145e+00
5.141047648166662681e-02,1.498263064677831213e+00
4.882837059463743939e-02,1.497138659054505938e+00
5.587882157333973893e-02,1.497083686540737979e+00
5.264251076377336747e-02,1.500495594023678603e+00
7.786961862601499140e-02,1.488978504754655097e+00
6.697626449139695848e-02,1.496878775837905851e+00
7.795272270676098514e-02,1.499635508503570858e+00
