x,v,phi,omega
0.000000000000000000e+00,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
1.781470177356657129e-05,7.117407568894905216e-04,1.495996501709425219e+00,0.000000000000000000e+00
7.108964689836688809e-05,1.418415764728804714e-03,1.495996501709425219e+00,0.000000000000000000e+00
1.595724503699779881e-04,2.120061078518574796e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.830125235109177419e-04,2.816712496641297827e-03,1.495996501709425219e+00,0.000000000000000000e+00
4.411610611854537576e-04,3.508405562687792658e-03,1.495996501709425219e+00,0.000000000000000000e+00
6.337710291054099096e-04,4.195175567270656436e-03,1.495996501709425219e+00,0.000000000000000000e+00
8.605971512263225348e-04,4.877057549824812162e-03,1.495996501709425219e+00,0.000000000000000000e+00
1.121395897233303136e-03,5.554086300395243148e-03,1.495996501709425219e+00,0.000000000000000000e+00
1.415925470115969977e-03,6.226296361412005445e-03,1.495996501709425219e+00,0.000000000000000000e+00
1.743945793831812785e-03,6.893722029452599778e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.105218501057363849e-03,7.556397356991807063e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.499506921026546993e-03,8.214356154139066876e-03,1.495996501709425219e+00,0.000000000000000000e+00
2.926576067455588168e-03,8.867631990363489952e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.386192626553868358e-03,9.516258196206592301e-03,1.495996501709425219e+00,0.000000000000000000e+00
3.878124945120107765e-03,1.016026786498284290e-02,1.495996501709425219e+00,0.000000000000000000e+00
4.402143018723274522e-03,1.079969385446810475e-02,1.495996501709425219e+00,0.000000000000000000e+00
4.958018479967614932e-03,1.143456878857605601e-02,1.495996501709425219e+00,0.000000000000000000e+00
5.545524586841206298e-03,1.206492505902268669e-02,1.495996501709425219e+00,0.000000000000000000e+00
6.164436211147437776e-03,1.269079482697893849e-02,1.495996501709425219e+00,0.000000000000000000e+00
6.814529827018829880e-03,1.331221002471159702e-02,1.495996501709425219e+00,0.000000000000000000e+00
7.495583499512603262e-03,1.392920235721248692e-02,1.495996501709425219e+00,0.000000000000000000e+00
8.207376873287420410e-03,1.454180330381608412e-02,1.495996501709425219e+00,0.000000000000000000e+00
8.949691161360717392e-03,1.515004411980561301e-02,1.495996501709425219e+00,0.000000000000000000e+00
9.722309133946057530e-03,1.575395583800770841e-02,1.495996501709425219e+00,0.000000000000000000e+00
1.052501510736992933e-02,1.635356927037572711e-02,1.495996501709425219e+00,0.000000000000000000e+00
