x,phi
-2.421509606190281813e-02,1.497208404619977173e+00
1.877723422803895172e-03,1.493141123460994368e+00
2.132717137179881289e-03,1.495679670742974032e+00
9.377062928815058096e-03,1.496611712512543324e+00
1.168812895383513316e-02,1.498944188487532081e+00
8.920725627070226482e-03,1.504309744224297196e+00
9.015029022302193870e-03,1.501786071044046489e+00
4.273936884889647549e-03,1.493515033999531116e+00
8.840292895766710402e-03,1.498077884635022672e+00
1.202804065111198403e-02,1.488850602763456710e+00
1.452738037784664926e-02,1.504691473529382151e+00
1.767659123773758847e-02,1.498067537963797324e+00
1.680286979969732031e-02,1.498947057858920573e+00
1.666759810972524847e-02,1.493120580032921474e+00
3.879012136498413699e-02,1.496494281865611731e+00
3.937339592109842523e-02,1.511201431912858384e+00
3.271559434437010250e-02,1.492629564621103855e+00
4.851385171877736768e-02,1.501176685673237143e+00
6.970262140521554795e-02,1.495052298207862895e+00
5.254883967922045068e-02,1.502115968074245078e+00
6.616827086634592681e-02,1.492198493932063386e+00
7.279241366939974422e-02,1.493360663162020208e+00
1.014353164006059627e-01,1.498230964803681342e+00
9.195227196907357348e-02,1.491319183951376637e+00
1.123028734347889246e-01,1.502143828857790187e+00
1.063183299659660047e-01,1.499665193715727929e+00
1.089349767398843927e-01,1.488135410181383289e+00
1.248120257375842923e-01,1.502014778445434962e+00
1.368767906282234714e-01,1.496500614172053600e+00
1.678235150533987086e-01,1.500445445735574035e+00
1.498441574495739392e-01,1.489227707409015888e+00
1.533769152419665327e-01,1.494456433180191501e+00
1.542449426595094986e-01,1.490330240555013619e+00
1.915791082125234690e-01,1.493756416181668101e+00
1.888291021363363575e-01,1.494210182241776153e+00
2.078473356778078873e-01,1.498221025908399229e+00
2.189685294621486755e-01,1.489424000008541249e+00
2.269997573216231135e-01,1.488122854831195108e+00
2.435116930757207920e-01,1.505392580393701163e+00
2.615601064094870143e-01,1.497706885772183139e+00
2.528778659130529460e-01,1.496847383089231487e+00
2.748335184229032668e-01,1.495895000993398449e+00
2.732110915683353403e-01,1.495096744022314406e+00
2.924376192616037762e-01,1.507863857258683327e+00
3.082218490493329188e-01,1.496476448744013199e+00
3.188112147274884123e-01,1.487529152819039524e+00
3.240543093142971287e-01,1.496303749353195212e+00
3.443354363497619364e-01,1.489835077966313426e+00
3.694259295431351342e-01,1.489093653619288249e+00
3.702273342595541750e-01,1.489992414103834761e+00
4.083865708115601567e-01,1.492420810886574856e+00
4.182186860332465783e-01,1.497721872724299352e+00
4.235568763765762412e-01,1.496151938998207864e+00
4.337324041119502427e-01,1.495597309213881232e+00
4.384382963526912147e-01,1.506723022539192769e+00
4.719194881697766353e-01,1.503005801441643197e+00
4.917559739528151730e-01,1.502663826679734749e+00
4.870789203813222779e-01,1.502389066530748440e+00
5.161370867579277988e-01,1.497875318122479982e+00
5.514777199388178897e-01,1.494909010799599036e+00
5.524770471362207003e-01,1.486464964275660883e+00
5.714737545364148019e-01,1.500812267801407973e+00
5.884080300109151285e-01,1.496239823372473632e+00
6.202288879844379821e-01,1.495435634968371286e+00
6.334017178361170952e-01,1.503501005144875169e+00
6.474641062287347371e-01,1.496062230774274360e+00
6.712266773441513124e-01,1.501312485171703459e+00
6.944730162839137799e-01,1.491203311060042891e+00
6.990527015064281757e-01,1.492585456434057267e+00
7.257216940240971415e-01,1.489237594759758698e+00
7.432222176077524223e-01,1.496812793839585431e+00
7.580532714272824046e-01,1.497997585926664543e+00
7.990746976469248475e-01,1.497561661762983443e+00
7.828218368599273447e-01,1.487737237398570445e+00
