x,v,phi,omega
0.000000000000000000e+00,0.000000000000000000e+00,1.495996501709425219e+00,0.000000000000000000e+00
1.781470177356657468e-04,7.117407568894906084e-03,1.495996501709425219e+00,0.000000000000000000e+00
7.108964689836688809e-04,1.418415764728804887e-02,1.495996501709425219e+00,0.000000000000000000e+00
1.595724503699779990e-03,2.120061078518574796e-02,1.495996501709425219e+00,0.000000000000000000e+00
2.830125235109177961e-03,2.816712496641297914e-02,1.495996501709425219e+00,0.000000000000000000e+00
4.411610611854538226e-03,3.508405562687792745e-02,1.495996501709425219e+00,0.000000000000000000e+00
6.337710291054099963e-03,4.195175567270656436e-02,1.495996501709425219e+00,0.000000000000000000e+00
8.605971512263225348e-03,4.877057549824811988e-02,1.495996501709425219e+00,0.000000000000000000e+00
1.121395897233303310e-02,5.554086300395243148e-02,1.495996501709425219e+00,0.000000000000000000e+00
1.415925470115970107e-02,6.226296361412005098e-02,1.495996501709425219e+00,0.000000000000000000e+00
1.743945793831813001e-02,6.893722029452599431e-02,1.495996501709425219e+00,0.000000000000000000e+00
2.105218501057364022e-02,7.556397356991806369e-02,1.495996501709425219e+00,0.000000000000000000e+00
2.499506921026547340e-02,8.214356154139065835e-02,1.495996501709425219e+00,0.000000000000000000e+00
2.926576067455588862e-02,8.867631990363487871e-02,1.495996501709425219e+00,0.000000000000000000e+00
3.386192626553868879e-02,9.516258196206590914e-02,1.495996501709425219e+00,0.000000000000000000e+00
3.878124945120108025e-02,1.016026786498284290e-01,1.495996501709425219e+00,0.000000000000000000e+00
4.402143018723274348e-02,1.079969385446810509e-01,1.495996501709425219e+00,0.000000000000000000e+00
4.958018479967614411e-02,1.143456878857605635e-01,1.495996501709425219e+00,0.000000000000000000e+00
5.545524586841205777e-02,1.206492505902268669e-01,1.495996501709425219e+00,0.000000000000000000e+00
6.164436211147437256e-02,1.269079482697894057e-01,1.495996501709425219e+00,0.000000000000000000e+00
6.814529827018829533e-02,1.331221002471159875e-01,1.495996501709425219e+00,0.000000000000000000e+00
7.495583499512602221e-02,1.392920235721248901e-01,1.495996501709425219e+00,0.000000000000000000e+00
8.207376873287419716e-02,1.454180330381608655e-01,1.495996501709425219e+00,0.000000000000000000e+00
8.949691161360717739e-02,1.515004411980561683e-01,1.495996501709425219e+00,0.000000000000000000e+00
9.722309133946058224e-02,1.575395583800771049e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.052501510736992968e-01,1.635356927037572849e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.135759493306743168e-01,1.694891500956179908e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.221983598665628001e-01,1.754002343047767754e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.311152715708857608e-01,1.812692469184449262e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.403245883587979637e-01,1.870964873773146020e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.498242290641442764e-01,1.928822529908365557e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.596121273332773149e-01,1.986268389523889732e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.696862315196308035e-01,2.043305383543384812e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.800445045790432519e-01,2.099936422029938521e-01,1.495996501709425219e+00,0.000000000000000000e+00
1.906849239658267026e-01,2.156164394334533496e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.016054815295751923e-01,2.211992169243464368e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.128041834127076537e-01,2.267422595124703733e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.242790499487400391e-01,2.322458500073228960e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.360281155612815596e-01,2.377102692055312605e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.480494286637496826e-01,2.431357959051786699e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.603410515597989749e-01,2.485227069200287575e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.729010603444586569e-01,2.538712770936488172e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.857275448059737877e-01,2.591817793134323922e-01,1.495996501709425219e+00,0.000000000000000000e+00
2.988186083283449479e-01,2.644544845245222486e-01,1.495996501709425219e+00,0.000000000000000000e+00
3.121723677945618669e-01,2.696896617436341237e-01,1.495996501709425219e+00,0.000000000000000000e+00
3.257869534905254438e-01,2.748875780727821905e-01,1.495996501709425219e+00,0.000000000000000000e+00
3.396605090096539992e-01,2.800484987129067127e-01,1.495996501709425219e+00,0.000000000000000000e+00
