x,phi
6.890858850361424211e-03,1.506885134577391705e+00
1.260166462942702899e-03,1.493406610837640702e+00
1.154462803337022447e-02,1.496658752293941408e+00
4.031290236191665058e-03,1.492965586374056741e+00
2.947064078066757853e-02,1.494597986244863064e+00
4.676639556289555882e-02,1.502101338146236476e+00
5.989256580615751752e-02,1.492711483861569599e+00
7.435598267381421378e-02,1.495244855045958277e+00
9.968415245185119344e-02,1.490415703763519284e+00
1.482023691768781792e-01,1.495997933034363347e+00
1.621555956355484052e-01,1.500004436684692966e+00
1.989587805680484156e-01,1.488211751371321778e+00
2.380737620247465602e-01,1.489733890080636947e+00
2.870133729590667593e-01,1.492244046133311075e+00
3.354562655459016884e-01,1.495128170870050122e+00
3.836014709647597165e-01,1.505335001745164325e+00
4.425794041089484709e-01,1.500675022162320182e+00
4.923753890970679059e-01,1.494651172682950335e+00
5.554140245977725598e-01,1.497894341878291069e+00
6.119072074268200323e-01,1.493053269321503285e+00
7.029614073383572137e-01,1.490868372747093495e+00
7.601273213961952102e-01,1.495237999561135789e+00
8.232521657293091488e-01,1.506454550503492973e+00
9.195253986603255658e-01,1.496357421016474287e+00
9.062485517500643573e-01,1.497894823768286088e+00
8.902676001271345729e-01,1.496748775702880341e+00
9.002452687560409395e-01,1.494952720262549439e+00
9.094445843089307147e-01,1.495384794266791939e+00
8.981156422022967822e-01,1.500112662492858684e+00
9.108823661581998410e-01,1.494032753821179726e+00
8.862610754946512737e-01,1.488980415436252702e+00
8.951087636922215873e-01,1.484898539783220839e+00
9.091741819709276973e-01,1.495102204894547926e+00
8.863564401516549340e-01,1.496248293173095378e+00
8.877812782356339083e-01,1.502951280171698434e+00
8.987142187774597168e-01,1.498294157894191292e+00
9.093002299340245953e-01,1.494402996715116227e+00
8.831114654923853946e-01,1.499384844399322292e+00
9.005957802822650571e-01,1.500512967166186540e+00
9.159772874777657448e-01,1.507161422234040371e+00
8.826611377275817016e-01,1.493654301987824118e+00
9.020659953224856586e-01,1.494183095959384033e+00
8.932367985664889654e-01,1.500130733484267065e+00
9.028517337071462201e-01,1.512259021678758808e+00
8.980431706643161593e-01,1.503009159967316322e+00
8.933970915008906388e-01,1.494437927525338550e+00
8.795033772416147588e-01,1.496680601207784678e+00
9.079653466666687267e-01,1.509495292540037781e+00
9.117736616472034150e-01,1.495165442359670305e+00
8.988537055412372245e-01,1.498814771635483600e+00
8.984027261763573025e-01,1.487171260082523760e+00
9.021118112190960048e-01,1.496009715640866267e+00
8.976399820308317290e-01,1.495839226463223870e+00
8.980986225221450070e-01,1.500416260696541659e+00
9.088031316904023882e-01,1.488011357584463790e+00
8.924035609484441967e-01,1.491148058302251833e+00
9.090927527815706455e-01,1.485067580272391830e+00
8.819495961751455670e-01,1.492505527385096231e+00
8.956810624871566207e-01,1.497375759665561468e+00
9.034968034669821346e-01,1.500497219859739939e+00
9.048752322065963805e-01,1.507266414942448396e+00
9.057449034826120515e-01,1.491066960592867696e+00
8.911470312899945068e-01,1.492866923413521452e+00
8.968949078714940626e-01,1.492526332282166024e+00
8.987067237860307811e-01,1.500622354236014866e+00
9.028217858644215221e-01,1.500580620789887076e+00
9.183146419512253633e-01,1.499481101673798333e+00
9.138680054173395906e-01,1.490311495972400646e+00
9.034503471587194134e-01,1.490970522205336213e+00
8.952804487774580489e-01,1.493717371153518769e+00
9.002206340140533891e-01,1.502843275562863790e+00
8.982740746282528166e-01,1.497593794148079471e+00
9.233574628207271706e-01,1.500545326776153043e+00
9.020471150261897275e-01,1.506116649965575816e+00
8.931562174209198846e-01,1.502651715259651688e+00
9.080888863812686118e-01,1.498001466265182158e+00
9.155083885099103425e-01,1.503097950365239521e+00
9.188350551322551629e-01,1.492065746410436766e+00
9.040160895193949386e-01,1.491350807954449298e+00
9.133578596762531587e-01,1.497429465797393444e+00
8.988722266845590170e-01,1.493830209290989641e+00
9.033377178006131158e-01,1.492565570331516378e+00
9.100487766920117849e-01,1.495997809153590818e+00
8.753798129469463341e-01,1.488040325270335806e+00
8.947668699240935997e-01,1.491053065567294444e+00
9.019721389113647403e-01,1.497657189128670963e+00
8.929277539638005301e-01,1.501000608080846455e+00
8.885457549036519520e-01,1.498701322340793229e+00
8.998329747137946422e-01,1.499098104761612094e+00
8.977316350666811884e-01,1.496152897601581211e+00
8.967182221464198300e-01,1.493746742128806870e+00
8.918972047790523217e-01,1.487036147350851767e+00
8.955641487748364771e-01,1.498621198006451660e+00
9.112451234029055325e-01,1.497434160118001900e+00
8.961578843063865429e-01,1.496121563068479432e+00
8.913495851278520066e-01,1.498023787884619873e+00
9.095561679930723731e-01,1.483989439291058421e+00
8.995630081283356727e-01,1.490316170957135533e+00
8.928943776940815313e-01,1.504845580980548991e+00
9.113613924956102119e-01,1.505866943251467305e+00
8.858375646062857101e-01,1.492281360756169573e+00
9.116322285269742309e-01,1.486949400672442412e+00
9.080007674016042918e-01,1.505544784358186172e+00
9.041443032632422439e-01,1.495062595389985427e+00
9.083167498479713942e-01,1.489001626528555056e+00
9.022385139310591384e-01,1.491687508051616540e+00
9.164044639595991804e-01,1.500815173785032819e+00
9.086374804150971762e-01,1.500250913109102857e+00
9.006409447848259253e-01,1.497056646384336442e+00
8.955268633087726249e-01,1.497143802760287690e+00
9.066525057463253878e-01,1.495110024773535828e+00
9.028436245931980020e-01,1.488654791980380532e+00
9.050283018745265418e-01,1.491734871398995521e+00
8.904764964327359644e-01,1.498042046181260023e+00
9.022710538397189506e-01,1.496795336110260388e+00
9.159008197443008203e-01,1.498992319362793202e+00
9.193749263553715467e-01,1.493783017259222357e+00
8.934343134214138837e-01,1.509768423722445796e+00
8.808844554276448191e-01,1.491846702259605806e+00
8.893133900830548777e-01,1.497302171725893860e+00
8.986060827500282899e-01,1.496180840804582912e+00
9.028586486188078242e-01,1.499314042838497674e+00
8.971660980853182199e-01,1.503364300176646795e+00
9.199445037826270433e-01,1.495790291272994121e+00
8.777188874555259535e-01,1.505006940249020486e+00
9.071742784698358930e-01,1.501573304758828886e+00
8.954960520376958888e-01,1.492967235362514300e+00
8.964945629237013325e-01,1.493874973628704694e+00
8.990668023446433121e-01,1.503322625421379177e+00
9.080397479948020267e-01,1.497385037130961161e+00
9.143087448515802018e-01,1.498996671340791176e+00
8.921385203047731416e-01,1.500505961259984256e+00
8.987336005149798579e-01,1.499942874918336111e+00
8.889640474349109756e-01,1.499805563512774720e+00
9.058258260930056593e-01,1.501973532247604215e+00
8.998558237024520956e-01,1.498774600367985155e+00
9.125826565910795107e-01,1.490511398945884247e+00
8.924647442517565921e-01,1.500735202410644176e+00
8.976225891722905414e-01,1.498085330716821373e+00
9.140437772242712144e-01,1.504395914655695998e+00
9.000547951785611289e-01,1.503221717419731096e+00
9.057931061217302515e-01,1.503669879394851305e+00
8.902567631467683817e-01,1.496503695777757992e+00
9.040794442556276955e-01,1.505257808120623153e+00
8.747571733227045288e-01,1.487604052891017714e+00
8.962240020004261787e-01,1.494376765490684322e+00
9.100915596849535882e-01,1.493232565407455859e+00
9.160676907583407136e-01,1.492567560445808850e+00
8.947481611199136209e-01,1.487705495865320859e+00
8.809796137770350422e-01,1.489967348024803240e+00
8.927261129736446810e-01,1.495507024483528458e+00
9.139988478709164532e-01,1.498721624920772211e+00
9.058601930090868226e-01,1.499951231222315107e+00
9.015704182276422785e-01,1.496419854955679307e+00
9.161194548816391503e-01,1.491208959456369110e+00
8.986529543005051801e-01,1.492432641356988388e+00
8.995009491824995651e-01,1.488211713095583422e+00
9.091781505089172599e-01,1.497879392223253836e+00
9.135669169171867221e-01,1.491559323360517331e+00
9.043718744457672765e-01,1.497774745246568617e+00
9.053200025298180353e-01,1.496800001693366466e+00
9.009562925073744122e-01,1.495732476713049541e+00
8.974400851626253006e-01,1.487078278326063652e+00
8.948787161427520509e-01,1.486997494210113846e+00
9.147842297279622503e-01,1.489118451100421403e+00
9.088965740901668866e-01,1.509708511230102745e+00
9.097581696543129981e-01,1.488047143740743428e+00
9.018800291171571448e-01,1.492061588932777072e+00
9.169584218084506633e-01,1.500756072848019818e+00
9.057782244401872962e-01,1.491516036606447493e+00
8.896727371714004962e-01,1.492729632098231729e+00
8.925555472395135803e-01,1.498613497402520256e+00
8.909829474823828255e-01,1.491657461713769228e+00
8.984834448362787329e-01,1.495333555026474803e+00
8.943088404324668339e-01,1.487015275815348758e+00
8.971100050199051212e-01,1.503175087582876213e+00
8.863497859026945314e-01,1.496489329880544616e+00
9.132851240883148591e-01,1.492874759514810634e+00
8.999703341544571522e-01,1.490173313688506251e+00
9.061300939732094273e-01,1.497337011773193227e+00
9.126904988866009205e-01,1.501620276028002632e+00
8.942579364449102508e-01,1.494597612742968540e+00
8.839533799292372818e-01,1.494241409836425838e+00
9.127238469568057511e-01,1.502541856753465188e+00
8.981302323985242975e-01,1.486615521229748049e+00
9.046825093752574043e-01,1.487275453333469777e+00
8.985128054202222714e-01,1.490745486493040950e+00
9.029952139040103853e-01,1.501377785805735332e+00
8.870696435935453428e-01,1.496841758281210355e+00
8.939932020082428377e-01,1.493877336708580694e+00
9.157350153627143996e-01,1.496835571142813404e+00
9.063096090699741536e-01,1.501592005494669646e+00
8.889951059374998632e-01,1.489693582841058683e+00
8.956018054971456310e-01,1.496427517151002196e+00
8.912231061492064121e-01,1.498897228947561944e+00
8.917030084441026627e-01,1.496534269334347300e+00
9.050521556054398342e-01,1.496701694832348828e+00
8.829549999353119016e-01,1.493758522170777869e+00
8.984071841959490046e-01,1.496329112910516956e+00
9.228953877866283850e-01,1.490173806101975140e+00
9.038841481130422961e-01,1.490396754786283973e+00
9.000395239036301787e-01,1.496026716620670660e+00
8.861522313312500954e-01,1.498397306215210278e+00
9.086231964245767845e-01,1.496499860363997181e+00
8.980323409652160027e-01,1.496559592774751923e+00
9.035267834449401958e-01,1.495068705407564424e+00
9.040639438863113941e-01,1.498839727824089696e+00
9.261349275971163530e-01,1.495215763166216627e+00
8.988718643228315042e-01,1.492544888448426255e+00
8.987529195435260965e-01,1.485561018627302721e+00
9.146819613128468474e-01,1.498775947388178320e+00
8.994011283423573033e-01,1.500544360241327979e+00
8.834268004266345731e-01,1.496029515760956885e+00
8.792312581372552227e-01,1.490156717061503766e+00
8.923766695870045673e-01,1.500624361775455329e+00
